modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags,bloco
bloco_A_principal_brent_brl_para_dln_etanol,dln_petroleo_brl,dln_etanol,12,3,0.6011736146113622,1.0395465011955376,0.578303725634186,0.5630590795299781,-1.1087282182648308,2.3110754474875552,False,257,0.2605576100408161,13,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_etanol,dln_petroleo_brl,dln_etanol,24,3,-0.8057498442927921,1.159389513036147,-0.6949776888896793,0.4870692838097854,-2.7127758898597993,1.1012762012742154,False,245,0.3103483647940375,25,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,3,3,0.15610410378289435,0.057118873459583774,2.7329688827520493,0.006276626189860801,0.062151917605515805,0.2500562899602729,True,266,0.9866467119377591,4,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,6,3,0.2231199694377137,0.11636810823939386,1.9173635527245028,0.05519176119779501,0.03171146453866522,0.4145284743367622,True,263,0.9784859451869047,7,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,12,3,0.30621456603746905,0.20840145753580352,1.4693494453361065,0.14173803194923318,-0.036575327252270584,0.6490044593272086,False,257,0.9749324835900662,13,A_brent_brl_para_combustiveis
bloco_A_principal_brent_brl_para_dln_gasolina_refinaria,dln_petroleo_brl,dln_gasolina_refinaria,24,3,0.4135336373211107,0.32683168583184297,1.2652801281142505,0.20577092748761872,-0.12405664652206028,0.9511239211642817,False,245,0.965483546243112,25,A_brent_brl_para_combustiveis
bloco_B_principal_dln_diesel_para_ipca_geral_mensal,dln_diesel,ipca_geral_mensal,3,3,0.008101542356940328,0.05270016010485673,0.15372898945317828,0.8778234261993565,-0.07858250713245654,0.0947855918463372,False,266,0.6623629147653054,4,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_geral_mensal,dln_diesel,ipca_geral_mensal,6,3,-0.05367576927644496,0.11086877391309265,-0.4841378449672412,0.6282880444396597,-0.23603867416305815,0.12868713561016823,False,263,0.6221115499623462,7,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_geral_mensal,dln_diesel,ipca_geral_mensal,12,3,-0.05555902856943451,0.11503022589883298,-0.48299504008883437,0.6290992579542212,-0.24476691284817712,0.1336488557093081,False,257,0.5372207994280456,13,B_combustiveis_para_ipca
bloco_B_principal_dln_diesel_para_ipca_geral_mensal,dln_diesel,ipca_geral_mensal,24,3,-0.10867145410999246,0.13385427513861078,-0.8118639019744373,0.4168697297161974,-0.3288421440546967,0.11149923583471177,False,245,0.5044482932489612,25,B_combustiveis_para_ipca
