modelo,impulso,resposta,h,lags,coef,se,t,pvalor,ci_low,ci_high,significativo_90,nobs,r2,hac_maxlags
robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,12,6,0.3554398878686455,0.24571663707983574,1.4465438404692132,0.14802472487485274,-0.04872801383444092,0.7596077895717319,False,254,0.46199122582779806,13
robustez_6_lags_dln_petroleo_brl_para_ipca_transporte_mensal,dln_petroleo_brl,ipca_transporte_mensal,24,6,0.080604067534782,0.2977291456082807,0.27072951615167695,0.7865990736744108,-0.40911679746816143,0.5703249325377254,False,242,0.4314925561712345,25
robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,3,6,0.08986097911131875,0.0713437171940987,1.259550001674874,0.20783174170988516,-0.0274889928755946,0.20721095109823212,False,263,0.530969648102682,4
robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,6,6,0.015573237405240687,0.10419725269113363,0.14945919400968857,0.8811913061156731,-0.1558159916021495,0.1869624664126309,False,260,0.4954716256120383,7
robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,12,6,-0.035443625160526876,0.1494280333628781,-0.23719528633863432,0.8125052929452603,-0.2812308678056825,0.21034361748462876,False,254,0.3923533948801232,13
robustez_6_lags_dln_petroleo_brl_para_ipca_geral_mensal,dln_petroleo_brl,ipca_geral_mensal,24,6,-0.3038991787780261,0.16473181459753913,-1.8448116990666958,0.06506493500180488,-0.5748589014930858,-0.03293945606296639,True,242,0.3688495138927028,25
robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,3,6,1.1066263622609045,0.19676747551814505,5.624030899145505,1.8655225808572595e-08,0.7829726664887986,1.4302800580330104,True,263,0.5498967124649753,4
robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,6,6,1.1797311630369693,0.19821700651338028,5.951715162025382,2.653468778035517e-09,0.8536932009499723,1.5057691251239664,True,260,0.5233171386254353,7
robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,12,6,1.108331956963297,0.17599971813598267,6.297350749772034,3.027755823836742e-10,0.8188381822448891,1.3978257316817049,True,254,0.5228672100926472,13
robustez_6_lags_dln_gasolina_para_ipca_transporte_mensal,dln_gasolina,ipca_transporte_mensal,24,6,0.960442848630909,0.18205389561222965,5.275596248028819,1.323251379581336e-07,0.6609908381324884,1.2598948591293295,True,242,0.44378455682733076,25
robustez_6_lags_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,3,6,5.899149432225162,3.1025181897172622,1.9014068803131696,0.05724873903793526,0.7959611351858076,11.002337729264516,True,263,0.512941279629241,4
robustez_6_lags_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,6,6,2.2910475853870755,4.07216805721178,0.562611256018682,0.5736996256147906,-4.4070728130736505,8.989167983847802,False,260,0.5368635921987226,7
robustez_6_lags_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,12,6,3.471550351074278,5.258409483939612,0.6601901890062363,0.509131787467253,-5.1777635605798125,12.120864262728368,False,254,0.4978654916330545,13
robustez_6_lags_dln_gasolina_refinaria_para_ipca_transporte_mensal,dln_gasolina_refinaria,ipca_transporte_mensal,24,6,9.328666877470072,6.967013268717454,1.338976476384316,0.18057833104316368,-2.1310501665988646,20.78838392153901,False,242,0.4400280669594554,25
