h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref,tipo,significativo_10pct,coef_iv,se_iv,t_iv,pvalor_iv,first_stage_f,first_stage_pvalue,metodo
0.0,,,,,0.3287360429225776,1.8019532051027316,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_etanol.csv,0,LP_IV,True,1.0653446240126545,0.4477863714833294,2.379135882326236,0.0173532777727253,123.40662386346088,3.377142140578943e-23,2SLS_manual_aproximado
3.0,,,,,0.5105169749926206,4.029510363962456,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_etanol.csv,3,LP_IV,True,2.2700136694775384,1.0696028537902236,2.122295823569994,0.0338129039854572,121.8948128838388,6.270318319839454e-23,2SLS_manual_aproximado
6.0,,,,,0.3818315502845424,4.884700561178258,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_etanol.csv,6,LP_IV,True,2.6332660557314003,1.3686531948005216,1.9239834208805493,0.0543566616233684,118.53901158027452,2.13071792073898e-22,2SLS_manual_aproximado
12.0,,,,,-3.564550159310289,3.3959822414192447,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_etanol.csv,12,LP_IV,False,-0.0842839589455222,2.1156633436867884,-0.0398380768835592,0.96822221935105,113.88337803600362,1.2575882495385805e-21,2SLS_manual_aproximado
0.0,,,,,0.3138920661793691,1.3187848933247326,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina.csv,0,LP_IV,True,0.8163384797520509,0.3054385492843049,2.672676653503208,0.0075248743170519,124.6951308196308,2.217777391640481e-23,2SLS_manual_aproximado
3.0,,,,,0.014691726633879,2.401104438444179,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina.csv,3,LP_IV,True,1.2078980825390289,0.7253534078450758,1.665254577251558,0.0958619765361837,123.18741915027286,4.112676417326383e-23,2SLS_manual_aproximado
6.0,,,,,-1.005116268895598,1.8684471921565904,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina.csv,6,LP_IV,False,0.4316654616304961,0.8734235443927624,0.4942223785948048,0.62114913689827,119.80526770977022,1.406509780257039e-22,2SLS_manual_aproximado
12.0,,,,,-3.91811609587263,0.8081677802347078,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina.csv,12,LP_IV,False,-1.554974157818961,1.4365604486648444,-1.08242862962305,0.2790621125591832,115.1965913828036,8.158436602333592e-22,2SLS_manual_aproximado
0.0,,,,,-0.095857420947891,0.8275542738573347,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,0,LP_IV,False,0.3658484264547218,0.2806722476611628,1.3034720372367794,0.192413656864731,125.6862316210125,1.6065852180561113e-23,2SLS_manual_aproximado
3.0,,,,,-0.4822751113392808,2.301593406548132,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,3,LP_IV,False,0.9096591476044256,0.8461606437347758,1.0750430835324372,0.282355439738205,124.15014414247544,3.007151488416594e-23,2SLS_manual_aproximado
6.0,,,,,-2.005518642503212,1.6585108211437043,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,6,LP_IV,False,-0.1735039106797537,1.113686767065932,-0.1557923788004226,0.876196678110644,120.69505977864716,1.051469646147658e-22,2SLS_manual_aproximado
12.0,,,,,-2.8580166507763014,1.6376486734676936,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_gasolina_refinaria.csv,12,LP_IV,False,-0.6101839886543038,1.366463624390272,-0.4465424309604825,0.6552054698454048,115.90900791777264,6.456144984636169e-22,2SLS_manual_aproximado
0.0,,,,,-0.0316413148804101,0.0881633092969641,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,0,LP_IV,False,0.028260997208277,0.0364147793852201,0.7760859103199028,0.4376982622667804,127.3226784720803,9.453559557433268e-24,2SLS_manual_aproximado
3.0,,,,,0.0081781868619036,0.3336793080042475,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,3,LP_IV,True,0.1709287474330756,0.0989365109855148,1.7276609588355205,0.0840490268896003,125.43038138920213,1.9857965476398762e-23,2SLS_manual_aproximado
6.0,,,,,-0.0761030148260445,0.3687001637559387,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,6,LP_IV,False,0.1462985744649471,0.1351985345233991,1.0821017770693868,0.2792073062755742,122.85787118971788,5.200933773108416e-23,2SLS_manual_aproximado
12.0,,,,,-0.3093110897372541,0.3768213442678746,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_geral.csv,12,LP_IV,False,0.0337551272653102,0.2085508917948719,0.1618555882202191,0.8714195770375073,118.11422710487354,3.138953543436554e-22,2SLS_manual_aproximado
0.0,,,,,0.1151851083701398,0.4718991646020849,266.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,0,LP_IV,True,0.2935421364861124,0.1084237252984635,2.707360733806774,0.0067820519157392,128.71903292798797,6.024644836721237e-24,2SLS_manual_aproximado
3.0,,,,,0.075091511292854,0.9172671845264726,263.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,3,LP_IV,True,0.4961793479096633,0.2559804477913734,1.938348620727683,0.0525807042911696,126.99540941199167,1.1982157922262627e-23,2SLS_manual_aproximado
6.0,,,,,-0.1676638315012729,0.9395826400374508,260.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,6,LP_IV,False,0.3859594042680889,0.3365490794950527,1.1468146186795989,0.2514582460722737,123.23440369524972,4.603184861434509e-23,2SLS_manual_aproximado
12.0,,,,,-0.8790459858786129,0.7955203231307101,254.0,output_petroleo_lp_modelo9\B_lpiv_oil_supply_news\lpiv_acumulada_petroleo_brl_iv_oil_supply_news_para_ipca_transporte.csv,12,LP_IV,False,-0.0417628313739513,0.508986720063624,-0.0820509253536732,0.934606217365565,118.87517509733075,2.450216510222392e-22,2SLS_manual_aproximado
