corte,data_corte,variavel,h,coeficiente_pre,erro_padrao_pre,p_valor_pre,limite_inferior_pre_90,limite_superior_pre_90,coeficiente_pos,erro_padrao_pos,p_valor_pos,limite_inferior_pos_90,limite_superior_pos_90,diferenca_pos_menos_pre,erro_padrao_diferenca,p_valor_wald,estatistica_wald,observacoes
principal_set2016,2016-09-01,gasolina_consumidor,0,0.1827164001129783,0.21292253786464713,0.3908176166646966,-0.16754117467436624,0.5329739749003228,1.2106041878880989,0.2278332791664482,1.0750818983260476e-07,0.8358184436592916,1.585389932116906,1.0278877877751205,0.2865871270141803,0.00033495311368015007,12.864059941308717,269
principal_set2016,2016-09-01,gasolina_consumidor,1,0.1921712488435904,0.2808896534257228,0.4938791197896729,-0.26989223104172366,0.6542347287289044,2.5299517451361266,0.373236691897525,1.2150468179225753e-11,1.9159773869646979,3.1439261033075554,2.3377804962925364,0.3996667661782068,4.9357416907841995e-09,34.214593858699,268
principal_set2016,2016-09-01,gasolina_consumidor,2,0.1710210953549582,0.3969168864924216,0.6665601197818509,-0.4819071829250753,0.8239493736349918,3.0211339715878114,0.5631027832863169,8.087952834987042e-08,2.09482989308182,3.947438050093803,2.850112876232853,0.5835981558633335,1.0411836448717399e-06,23.85043468432743,267
principal_set2016,2016-09-01,gasolina_consumidor,3,0.2450063540745789,0.45497120508091626,0.5902252907752688,-0.5034212782835283,0.9934339864326862,2.87412382191697,0.6891873074614406,3.0418731288838464e-05,1.7404107011429002,4.00783694269104,2.629117467842391,0.7475891733874909,0.00043679186514693414,12.367843316386931,266
principal_set2016,2016-09-01,gasolina_consumidor,6,0.7408822262893635,0.6470078141068308,0.2521718464701479,-0.3234456279163733,1.8052100804951003,1.5615494630716125,1.0262384001637026,0.12810320227027353,-0.12661270519767842,3.2497116313409036,0.820667236782249,1.3560413659247612,0.5450505241593433,0.36625900855717425,263
principal_set2016,2016-09-01,gasolina_consumidor,12,-0.3625246129017772,0.9655132556472951,0.7073083730991465,-1.9507939184415777,1.2257446926380233,1.580127588184696,1.4514321699727994,0.27630036958023163,-0.8074783314205594,3.9677335077899514,1.942652201086473,1.774905401995975,0.27373124308198893,1.1979527438674948,257
principal_set2016,2016-09-01,gasolina_refinaria,0,-0.09868706973963359,0.1573083763669777,0.5304312522656425,-0.35745934886331193,0.16008520938404475,1.517018731690639,0.21775028791738757,3.242731265813107e-12,1.1588195080665364,1.8752179553147414,1.6157058014302725,0.24778779571114898,7.006307653677572e-11,42.51720863476377,269
principal_set2016,2016-09-01,gasolina_refinaria,1,-0.3179237970191381,0.3275279447928552,0.33170921841829903,-0.8567072662033849,0.2208596721651087,3.292150439942112,0.3810099455895982,5.5923833632584385e-18,2.665389079447223,3.918911800437001,3.61007423696125,0.4717986378012847,1.982983319918689e-14,58.548921591187174,268
principal_set2016,2016-09-01,gasolina_refinaria,2,-0.375305655598477,0.4698032103975487,0.4243732454713687,-1.1481319367024445,0.39752062550549055,3.9730103804903427,0.6025958501416944,4.30564400035599e-11,2.9817402070072556,4.96428055397343,4.34831603608882,0.7069913543560946,7.726268282446833e-10,37.82805365737285,267
principal_set2016,2016-09-01,gasolina_refinaria,3,-0.402852069636874,0.5900084638397365,0.4947393453249147,-1.3734159926532405,0.5677118533794925,3.9184736460948195,0.6934305429592018,1.5965414146822974e-08,2.7777804029269326,5.059166889262706,4.321325715731693,0.8416717659278371,2.8332064927176803e-07,26.36018696865608,266
principal_set2016,2016-09-01,gasolina_refinaria,6,-0.5423908245470348,0.8267489827815684,0.5117902772004188,-1.9023929012227148,0.8176112521286452,3.3630008546752848,0.8240658603199146,4.48451464870715e-05,2.007412514449025,4.718589194901544,3.9053916792223196,1.035964128886397,0.00016336950482442387,14.211494702718097,263
principal_set2016,2016-09-01,gasolina_refinaria,12,0.2505675597100865,1.0683425665247877,0.8145668776328964,-1.5068559622231892,2.007991081643362,2.8242454710802662,1.3061091647972505,0.030592369085630438,0.675695894988789,4.9727950471717435,2.5736779113701798,1.7659885272343818,0.1450175212922308,2.123893005794668,257
principal_set2016,2016-09-01,ipca_geral,0,-0.02092928562456487,0.017241619438878395,0.22479291727285033,-0.04929174960151983,0.007433178352390088,0.01875837102131949,0.023114681915392378,0.41705856058259405,-0.01926528072950097,0.05678202277213995,0.03968765664588436,0.028383108002708858,0.16202768582074592,1.9551992142336247,269
principal_set2016,2016-09-01,ipca_geral,1,0.004712643488940221,0.03519494645461114,0.8934807479969852,-0.0531830434288951,0.06260833040677555,0.08258733677222944,0.031408013309529616,0.00855108059424979,0.030921154878053227,0.13425351866640567,0.07787469328328922,0.040747003580369125,0.05598197341785512,3.652593512414102,268
principal_set2016,2016-09-01,ipca_geral,2,0.030118526698747847,0.056669583332577954,0.595088928765257,-0.0631029378833429,0.12333999128083858,0.0968622301761061,0.05638261577732293,0.0858066564366437,0.004112827222409868,0.18961163312980234,0.06674370347735825,0.06562429762231042,0.309125935973957,1.0344065595849314,267
principal_set2016,2016-09-01,ipca_geral,3,0.07027181592617553,0.0765614857259912,0.358698384455857,-0.05567182809307998,0.19621545994543105,0.09103183984962045,0.06311147659476243,0.14919025179700426,-0.01278653914876375,0.19485021884800463,0.02076002392344492,0.08294468515059483,0.8023649661610438,0.06264386910078483,266
principal_set2016,2016-09-01,ipca_geral,6,0.04722803017394274,0.12261335083767806,0.7001051494461353,-0.15447093195403766,0.24892699230192317,0.06627704717327215,0.08700179736711997,0.4461857067667825,-0.07684090949564018,0.20939500384218449,0.019049016999329413,0.1572641546276523,0.9035900320283825,0.014671876046488409,263
principal_set2016,2016-09-01,ipca_geral,12,-0.023512083599837738,0.19744935714777875,0.9052127213797687,-0.3483162761079338,0.3012921089082583,0.11871567692802043,0.15884154838083928,0.454831629161204,-0.1425786701584602,0.38001002401450107,0.14222776052785818,0.27741628714620803,0.6081701926527747,0.2628480949516539,257
principal_set2016,2016-09-01,ipca_transportes,0,0.032896573703660656,0.061467117948596786,0.5925186284369632,-0.06821683532178106,0.13400998272910236,0.3195478475035094,0.0762579495519518,2.7851888008661905e-05,0.1941035204905487,0.4449921745164701,0.2866512737998487,0.09381929713509402,0.0022479414902776998,9.335195166150719,269
principal_set2016,2016-09-01,ipca_transportes,1,0.07091530816906821,0.11897659881213127,0.5511457190949043,-0.12480119687688773,0.26663181321502416,0.6852821881082105,0.11739799310058469,5.306739532489405e-09,0.4921624894577487,0.8784018867586723,0.6143668799391423,0.14561679493957627,2.4531637394146764e-05,17.80051857183377,268
principal_set2016,2016-09-01,ipca_transportes,2,0.08399549938356962,0.16639200644675675,0.6136958772361369,-0.18971935122134523,0.3577103499884845,0.8819339301666009,0.16721092423203787,1.3320575016645714e-07,0.6068719598048986,1.1569959005283033,0.7979384307830313,0.20614402777920912,0.00010848712581198417,14.98294723207851,267
principal_set2016,2016-09-01,ipca_transportes,3,0.10818173422831949,0.19931110971222918,0.5872824940041946,-0.21968504124829752,0.4360485097049365,0.9005765044815616,0.19355994007738084,3.2761531408279606e-06,0.58217040305427,1.218982605908853,0.7923947702532421,0.26140500482393997,0.0024351003038461253,9.18872818285698,266
principal_set2016,2016-09-01,ipca_transportes,6,0.27971749572777865,0.2816816940260872,0.3206968518626403,-0.1836488909451348,0.7430838824006921,0.6253682601845498,0.31751847143463047,0.04889005542900877,0.10305037467458267,1.147686145694517,0.3456507644567712,0.46669866131994864,0.45891815742964714,0.5485319555707234,263
principal_set2016,2016-09-01,ipca_transportes,12,0.1867132671973013,0.42963993151418134,0.6638667304809743,-0.520044420143527,0.8934709545381296,0.7578833445090498,0.566724996818662,0.18112357592269368,-0.17437927525764907,1.6901459642757488,0.5711700773117485,0.7835063871076205,0.4660064084202874,0.5314296880640987,257
