h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref
6.0,0.0521249435976452,0.3821479412082129,0.1363999068864405,0.8915051472843132,-0.5765084196898651,0.6807583068851555,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_transporte.csv,6
12.0,0.2542932686616852,0.4044923849399688,0.628672573649131,0.5295634370949982,-0.4110967045645636,0.919683241887934,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_transporte.csv,12
24.0,-0.1209157201380025,0.3600123298859019,-0.3358654970965138,0.7369722964850385,-0.7131360028003112,0.4713045625243061,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_diesel_para_ipca_transporte.csv,24
3.0,0.170662200692429,0.0708479982839316,2.408850000369527,0.0160028736824015,0.0541172435153614,0.2872071578694967,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_geral.csv,3
6.0,0.2137550222042034,0.0957156654777705,2.233229233033403,0.0255338314902369,0.0563027524932707,0.371207291915136,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_geral.csv,6
12.0,0.2065284120360558,0.1399536699376679,1.4756912921828973,0.1400267846595717,-0.0236953750114078,0.4367521990835195,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_geral.csv,12
24.0,0.0653990403586664,0.1786642061742544,0.366044445941688,0.7143319105362692,-0.2285035787979821,0.3593016595153151,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_geral.csv,24
3.0,0.7642443397287667,0.2007868231787284,3.8062474799378743,0.0001410912063331,0.4339500155997584,1.094538663857775,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_transporte.csv,3
6.0,0.9690715362992844,0.2307250517006703,4.200114071516183,2.667805380245163e-05,0.5895288262516816,1.348614246346887,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_transporte.csv,6
12.0,0.8959873295439604,0.3333048907815791,2.688191365698013,0.0071840212616867,0.3477007842082626,1.4442738748796582,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_transporte.csv,12
24.0,0.5090192091410674,0.3230623778767282,1.5756065825012135,0.11511649819489,-0.0224184024661505,1.0404568207482852,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_etanol_para_ipca_transporte.csv,24
3.0,0.2739745570738621,0.0759412328879619,3.607718055855952,0.0003089018987227,0.1490512289731647,0.3988978851745595,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_geral.csv,3
6.0,0.3158465666946887,0.0975426403289502,3.238035854161176,0.001203556828702,0.1553889233535655,0.4763042100358118,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_geral.csv,6
12.0,0.3826360381238655,0.1295548470964796,2.95346755987382,0.0031422563277911,0.1695183146501565,0.5957537615975745,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_geral.csv,12
24.0,0.2132607473048316,0.1659143498571796,1.285366500778312,0.1986642416502686,-0.0596683582102288,0.4861898528198922,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_geral.csv,24
3.0,1.1772935452839863,0.1902053850159375,6.189591031743604,6.032050966138626e-10,0.8644056869327691,1.4901814036352037,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_transporte.csv,3
6.0,1.3008842706178192,0.2193273915020253,5.931243980557743,3.0064807268749227e-09,0.9400907115969876,1.6616778296386507,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_transporte.csv,6
12.0,1.2386930529334366,0.2688493564904435,4.607387085107146,4.077605000760102e-06,0.796435861506657,1.6809502443602162,257.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_transporte.csv,12
24.0,0.8527296698917886,0.2393156462265683,3.56320066546957,0.0003663604072643,0.4590554318490836,1.2464039079344935,245.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_para_ipca_transporte.csv,24
3.0,0.2462017552652741,0.1057241254069576,2.328718769888938,0.0198739690946749,0.0722855689708288,0.4201179415597194,266.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_geral.csv,3
6.0,0.2592160047068652,0.1416258601418225,1.8302872402489856,0.0672069983670041,0.026241464773567,0.4921905446401634,263.0,output_petroleo_lp_modelo3\B_combustiveis_para_inflacao\lp_acumulada_gasolina_refinaria_para_ipca_geral.csv,6
