h,coef,se,t,pvalor,ci_low,ci_high,nobs,arquivo,h_ref,significativo_10pct
12.0,0.8739236727384684,0.8410401272365178,1.0390986641862132,0.298758852154505,-0.5095873365656033,2.25743468204254,257.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,12,False
18.0,0.8971432489678394,0.6948940080079589,1.2910504891813142,0.1966861706217995,-0.2459573942052529,2.040243892140932,251.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,18,False
24.0,-0.433037888061848,0.8055127703402685,-0.5375928278317949,0.5908581828283404,-1.75810639527159,0.8920306191478936,245.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina.csv,24,False
0.0,0.7943118508232175,0.195740013506584,4.057994257758135,4.949598460700106e-05,0.4723195286048868,1.1163041730415482,269.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,0,True
3.0,2.013839258008157,0.6785270517505112,2.967957213809993,0.0029978605749293,0.8976622578785656,3.1300162581377475,266.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,3,True
6.0,1.548407236153187,0.7242632394581043,2.137906705456582,0.0325243159219077,0.3569942072446057,2.739820265061769,263.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,6,True
12.0,1.767701310806315,0.8810243253312102,2.006416009162709,0.0448118816750823,0.3184162956364742,3.216986325976156,257.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,12,True
18.0,3.155584851022422,0.9940656910846756,3.174422856883033,0.0015013479327494,1.5203467891881308,4.790822912856713,251.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,18,True
24.0,1.6030677537640408,1.235448031813541,1.2975598426514652,0.1944386289105585,-0.4292442585692342,3.635379766097316,245.0,output_petroleo_lp_modelo4_regimes_brl\A_usd_vs_brl_petroleo_para_combustiveis\lp_acumulada_petroleo_usd_para_gasolina_refinaria.csv,24,False
0.0,0.0323581342724573,0.0214975228275585,1.5052029264960765,0.1322719130158985,-0.0030052907788764,0.067721559323791,269.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,0,False
3.0,0.1464777826225267,0.0692582535723474,2.1149505664262165,0.0344341607499647,0.0325479554960152,0.2604076097490383,266.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,3,True
6.0,0.1161903206263967,0.0911362058676239,1.27490846826742,0.2023416414012224,-0.0337287380258446,0.2661093792786381,263.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,6,False
12.0,0.1275076478746558,0.1472672582092176,0.8658248236923788,0.3865862339347098,-0.1147469918795071,0.3697622876288189,257.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,12,False
18.0,0.0366870941703714,0.1768457777783209,0.2074524743042456,0.8356565052512142,-0.2542242102749665,0.3275983986157095,251.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,18,False
24.0,-0.1653725112872482,0.1824040761592143,-0.9066272792220944,0.3646039310350824,-0.4654272165691557,0.1346821939946594,245.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_geral.csv,24,False
0.0,0.2431375350806309,0.0656131135174676,3.705624105399336,0.0002108708440245,0.1352039633443967,0.3510711068168651,269.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,0,True
3.0,0.636917332477885,0.177287880477322,3.5925599130807875,0.0003274453360647,0.3452787690926903,0.9285558958630796,266.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,3,True
6.0,0.5847302211589867,0.2030202951314357,2.880156492632578,0.0039747782421164,0.2507618356677749,0.9186986066501984,263.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,6,True
12.0,0.6291308038451419,0.3253348453720869,1.9337947127231396,0.0531383731360385,0.0939549832080588,1.1643066244822249,257.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,12,True
18.0,0.6384564176944273,0.3365437345505054,1.8970979167006703,0.0578150161302285,0.0848419743588458,1.1920708610300088,251.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,18,True
24.0,0.1840165170970029,0.3528624635498072,0.521496435879836,0.6020209877787546,-0.3964422354424299,0.7644752696364359,245.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_brl_para_ipca_transporte.csv,24,False
0.0,0.0336117073282942,0.0223303494410135,1.5052029264961069,0.1322719130158907,-0.0031217175021729,0.0703451321587614,269.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,0,False
3.0,0.1521524176317071,0.0719413588416918,2.1149505664262054,0.0344341607499657,0.0338088823371239,0.2704959529262902,266.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,3,True
6.0,0.1206916016353629,0.0946668758106079,1.2749084682674066,0.2023416414012271,-0.035035409073087,0.2764186123438129,263.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,6,False
12.0,0.1324473687634704,0.1529724779645825,0.865824823692375,0.3865862339347119,-0.1191923574882679,0.3840870950152087,257.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,12,False
18.0,0.0381083736657071,0.18369688668944,0.2074524743042249,0.8356565052512304,-0.2640730049384216,0.340289752269836,251.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,18,False
24.0,-0.1717791391410127,0.1894705168020039,-0.9066272792221354,0.3646039310350607,-0.4834581392803091,0.1398998609982837,245.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_geral.csv,24,False
0.0,0.2525568254597781,0.0681550039281591,3.705624105399411,0.0002108708440244,0.1404418439979563,0.3646718069215999,269.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,0,True
3.0,0.661591882625518,0.1841561167056973,3.5925599130808017,0.0003274453360646,0.3586550706446459,0.9645286946063902,266.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,3,True
6.0,0.6073830120772236,0.210885420160642,2.8801564926325844,0.0039747782421163,0.2604764959129675,0.9542895282414796,263.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,6,True
12.0,0.6535036993173116,0.337938507649067,1.933794712723132,0.0531383731360394,0.0975948542345963,1.2094125444000268,257.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,12,True
18.0,0.6631905929039318,0.349581635753046,1.8970979167007147,0.0578150161302227,0.088128802090171,1.2382523837176924,251.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,18,True
24.0,0.1911454246452311,0.3665325618625669,0.521496435879828,0.6020209877787602,-0.4118006396186913,0.7940914889091537,245.0,output_petroleo_lp_modelo4_regimes_brl\B_usd_vs_brl_petroleo_para_ipca\lp_acumulada_petroleo_usd_para_ipca_transporte.csv,24,False
