h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs,arquivo,h_ref,pre_significativo_10pct,pos_significativo_10pct,diferenca_regimes_10pct
0.0,0.3953439071284255,0.1448713753830579,0.0063540104031485,0.1570304946232951,0.6336573196335558,0.500381461893209,0.1244562139262273,5.806434290150144e-05,0.2956509899845649,0.705111933801853,0.1050375547647834,0.406819515540046,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,0,True,True,False
3.0,1.8540645113887264,0.4191410653071442,9.712106022130468e-06,1.1645774589584743,2.5435515638189785,0.7868947489995308,0.3027575084132849,0.0093470600786085,0.288858647659677,1.2849308503393846,-1.0671697623891956,0.0189594032366589,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,3,True,True,True
6.0,2.705530493710851,0.5924244034050324,4.9503986430322655e-06,1.7309923501095723,3.680068637312129,0.5656344141857332,0.3873247919637481,0.1441906061469069,-0.0715148685946324,1.2027836969660988,-2.1398960795251174,0.0045556916512744,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,6,True,False,True
12.0,2.666748852969475,0.8919723096614797,0.0027923184919847,1.199454403576341,4.13404330236261,0.7469515295553804,0.6606442772702371,0.2582062085941258,-0.3398083065541597,1.8337113656649204,-1.9197973234140948,0.1242015842746398,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,12,True,False,False
18.0,2.764351909080003,1.2600080318950393,0.0282414416300228,0.6916386966126633,4.837065121547342,0.8136788500503682,0.5768253707208068,0.158357997627709,-0.1351988847853589,1.7625565848860951,-1.9506730590296344,0.1889972876659154,251.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,18,True,False,False
24.0,2.991687218584079,1.3053531757953742,0.0219137014498429,0.8443812444006884,5.13899319276747,0.4279968783335166,0.3888695147881545,0.2710628465597724,-0.2116934734929976,1.0676872301600309,-2.563690340250562,0.0672421768677256,245.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_gasolina_refinaria_para_ipca_transporte.csv,24,True,False,True
0.0,0.0559465516630564,0.1843134001147311,0.7614781117303352,-0.2472489915256761,0.3591420948517891,1.1864225855496155,0.207799492216481,1.1333616081473074e-08,0.8445924208535043,1.5282527502457268,1.1304760338865592,7.338159154720867e-05,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,0,False,True,True
3.0,0.5303017484940346,0.5283768078373292,0.3155506621044127,-0.3388781003983719,1.399481597386441,3.035870607748658,0.6257277975477723,1.2238099919475755e-06,2.0065483807825726,4.065192834714743,2.505568859254624,0.0008497115511886,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,3,False,True,True
6.0,0.7871241269272037,0.6788336497694868,0.2462425287424019,-0.3295572269436021,1.9038054807980096,3.2780134694927887,0.8614061780014277,0.0001415629880116,1.86100030668044,4.6950266323051375,2.490889342565585,0.012642865619704,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,6,False,True,True
12.0,1.407386008582988,1.0322165574030804,0.1727375761262999,-0.2906102283450793,3.105382245511055,3.371873822330199,1.0651191201604722,0.0015469717096548,1.6197528696662222,5.123994774994175,1.964487813747211,0.1656049669693348,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,12,False,True,False
18.0,1.6946318814401065,1.0920301090295876,0.1207057992828111,-0.1017576479135651,3.491021410793778,4.066545927843312,1.3240056152959496,0.0021306016900211,1.888556690681475,6.244535165005149,2.3719140464032056,0.1461179163933299,251.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,18,False,True,False
24.0,1.4689141874717715,1.0348900505386578,0.1557848961093265,-0.2334799456643206,3.171308320607864,2.0583579238431686,1.3735890601640814,0.1339968309504659,-0.2011960801267451,4.317911927813082,0.5894437363713971,0.6807245917981564,245.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_diesel.csv,24,False,False,False
0.0,0.1204881310752979,0.1510914423286741,0.4251887299417185,-0.128057291555371,0.369033553705967,1.1987373524607143,0.232383291556536,2.490039433396954e-07,0.8164668378502126,1.5810078670712162,1.0782492213854162,1.076625308693068e-05,269.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_gasolina.csv,0,False,True,True
3.0,0.8273487873608824,0.492412124699043,0.0929192248448973,0.0173308422309566,1.637366732490808,2.3565305476415928,0.6868845570345915,0.000601910676574,1.2266054513196898,3.486455643963496,1.5291817602807103,0.0535829700817643,266.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_gasolina.csv,3,True,True,True
6.0,1.1632825435675065,0.7002610912728433,0.0966707571881963,0.0113530484236792,2.315212038711333,1.4204804716860802,0.7735662292817338,0.0663169677308565,0.1479640245176281,2.692996918854532,0.2571979281185736,0.8168711674064963,263.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_gasolina.csv,6,True,True,False
12.0,-0.0145942819038454,0.89866397346062,0.9870429429445974,-1.4928965182465652,1.4637079544388745,1.3103562940304443,1.138975117957896,0.2499504916506748,-0.5632577750102945,3.1839703630711838,1.3249505759342897,0.3360834242500686,257.0,output_petroleo_lp_modelo4_regimes_brl\C_regimes_wald\lp_regime_acumulada_petroleo_brl_para_gasolina.csv,12,False,False,False
